Year,State,epi_week,LGA,Population (2016 census),Number of cases,Deaths,Proportion of cases by LGA,Case fatality rate (%),"LGA attack rate per 1,000,000",Rainfall_mm,Temperature_C,Humidity_%,Primary_Water_Source,Secondary_Water_Source,Water_Safety_Level,Sanitation_Type,Toilet_Access_%,Open_Defecation_%,Waste_Management_Level,Health_Facilities_Count,Hospital_Count,Health_Workers,Access_Level,Flood_Risk_Level,Proximity_to_Water_Body,Elevation_m,Environmental_Risk
2019,Bauchi,20,Alkaleri,89943,0,0,0,0,0,16,32.1,66,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,21,Alkaleri,89943,0,0,0,0,0,53,27.6,77,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,22,Alkaleri,89943,0,0,0,0,0,42,31,59,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,23,Alkaleri,89943,0,0,0,0,0,54,30.5,76,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,24,Alkaleri,89943,0,0,0,0,0,46,30.4,57,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,25,Alkaleri,89943,0,0,0,0,0,33,32.1,59,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,26,Alkaleri,89943,0,0,0,0,0,45,28.4,68,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,27,Alkaleri,89943,0,0,0,0,0,46,30.1,69,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,28,Alkaleri,89943,0,0,0,0,0,45,27.2,67,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,29,Alkaleri,89943,0,0,0,0,0,51,30.8,74,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,30,Alkaleri,89943,0,0,0,0,0,51,31.2,59,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,31,Alkaleri,89943,0,0,0,0,0,42,30.6,69,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,32,Alkaleri,89943,0,0,0,0,0,48,28.4,61,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,33,Alkaleri,89943,0,0,0,0,0,36,33.2,82,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,34,Alkaleri,89943,1,0,0.0001,0,11.12,11,32.7,84,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,35,Alkaleri,89943,0,0,0,0,0,34,29.6,82,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,36,Alkaleri,89943,0,0,0,0,0,37,30.3,74,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,37,Alkaleri,89943,0,0,0,0,0,39,34.3,80,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,38,Alkaleri,89943,0,0,0,0,0,32,34.4,61,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,39,Alkaleri,89943,0,0,0,0,0,39,29.7,79,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,40,Alkaleri,89943,0,0,0,0,0,36,31.6,74,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,41,Alkaleri,89943,0,0,0,0,0,14,34.2,41,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,42,Alkaleri,89943,0,0,0,0,0,7,32.1,43,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,43,Alkaleri,89943,0,0,0,0,0,6,33.2,44,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,44,Alkaleri,89943,0,0,0,0,0,13,30.5,56,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,45,Alkaleri,89943,0,0,0,0,0,7,33.1,43,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,46,Alkaleri,89943,0,0,0,0,0,3,32.2,51,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,47,Alkaleri,89943,0,0,0,0,0,1,35.8,26,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,48,Alkaleri,89943,0,0,0,0,0,1,34.3,24,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,49,Alkaleri,89943,0,0,0,0,0,0,36,36,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,50,Alkaleri,89943,0,0,0,0,0,1,33,24,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,51,Alkaleri,89943,0,0,0,0,0,7,35.4,38,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,52,Alkaleri,89943,0,0,0,0,0,5,30.9,31,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,1,Bauchi,219988,24,0,0.0025,0,109.1,0,33,20,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,2,Bauchi,219988,26,0,0.0027,0,118.19,1,33.4,25,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,3,Bauchi,219988,26,0,0.0027,0,118.19,0,36,24,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,4,Bauchi,219988,18,0,0.0019,0,81.82,0,37.7,26,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,5,Bauchi,219988,23,0,0.0024,0,104.55,4,35.7,26,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,6,Bauchi,219988,22,0,0.0023,0,100.01,2,33.5,22,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,7,Bauchi,219988,29,0,0.003,0,131.83,4,32.7,32,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,8,Bauchi,219988,25,0,0.0026,0,113.64,3,32.3,20,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,9,Bauchi,219988,61,0,0.0063,0,277.29,5,35.4,29,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,10,Bauchi,219988,69,0,0.0071,0,313.65,11,37.9,26,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,11,Bauchi,219988,71,0,0.0073,0,322.74,5,35.4,34,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,12,Bauchi,219988,80,1,0.0082,1.25,363.66,8,34.4,34,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,13,Bauchi,219988,61,0,0.0063,0,277.29,13,27.3,39,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,14,Bauchi,219988,64,0,0.0066,0,290.92,28,30,30,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,15,Bauchi,219988,54,0,0.0056,0,245.47,33,31,33,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,16,Bauchi,219988,202,1,0.0208,0.5,918.23,25,27.4,31,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,17,Bauchi,219988,188,0,0.0194,0,854.59,26,32.2,81,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,18,Bauchi,219988,189,0,0.0195,0,859.14,29,30.5,72,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,19,Bauchi,219988,203,3,0.0209,1.48,922.78,12,30.9,55,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,20,Bauchi,219988,161,1,0.0166,0.62,731.86,28,31.9,66,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,21,Bauchi,219988,392,2,0.0404,0.51,1781.92,22,31.9,62,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,22,Bauchi,219988,361,0,0.0372,0,1641,29,28.2,83,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,23,Bauchi,219988,427,0,0.044,0,1941.01,32,28.3,68,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,24,Bauchi,219988,373,0,0.0384,0,1695.55,21,27.2,72,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,25,Bauchi,219988,362,1,0.0373,0.28,1645.54,54,29,80,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,26,Bauchi,219988,384,0,0.0395,0,1745.55,27,29.3,64,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,27,Bauchi,219988,394,2,0.0406,0.51,1791.01,45,29,73,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,28,Bauchi,219988,366,0,0.0377,0,1663.73,26,27.7,75,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,29,Bauchi,219988,348,3,0.0358,0.86,1581.9,30,32.3,58,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,30,Bauchi,219988,387,1,0.0398,0.26,1759.19,44,31.8,79,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,31,Bauchi,219988,400,2,0.0412,0.5,1818.28,29,29.5,78,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,32,Bauchi,219988,368,0,0.0379,0,1672.82,54,32.9,70,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,33,Bauchi,219988,366,1,0.0377,0.27,1663.73,13,31.2,61,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,34,Bauchi,219988,384,1,0.0395,0.26,1745.55,33,34.2,59,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,35,Bauchi,219988,382,0,0.0393,0,1736.46,21,31.6,67,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,36,Bauchi,219988,200,0,0.0206,0,909.14,32,33.5,63,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,37,Bauchi,219988,188,2,0.0194,1.06,854.59,39,34.4,84,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,38,Bauchi,219988,172,1,0.0177,0.58,781.86,29,34,76,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,39,Bauchi,219988,184,0,0.0189,0,836.41,22,34.4,71,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,40,Bauchi,219988,183,0,0.0188,0,831.86,13,29.1,63,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,41,Bauchi,219988,180,0,0.0185,0,818.23,13,31.1,48,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,42,Bauchi,219988,187,1,0.0193,0.53,850.05,16,29.5,39,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,43,Bauchi,219988,49,0,0.005,0,222.74,4,32.6,54,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,44,Bauchi,219988,64,0,0.0066,0,290.92,5,34.7,50,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,45,Bauchi,219988,61,0,0.0063,0,277.29,0,30.7,55,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,46,Bauchi,219988,70,0,0.0072,0,318.2,1,35.8,48,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,47,Bauchi,219988,66,1,0.0068,1.52,300.02,6,30.3,22,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,48,Bauchi,219988,29,0,0.003,0,131.83,6,33.3,30,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,49,Bauchi,219988,19,0,0.002,0,86.37,1,35.8,28,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,50,Bauchi,219988,27,0,0.0028,0,122.73,1,35,36,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,51,Bauchi,219988,24,0,0.0025,0,109.1,4,35,33,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,52,Bauchi,219988,24,0,0.0025,0,109.1,4,31.3,28,Borehole ,Open Well,Low,Flush Toilet,25,20,Poor,7,1,35,Low,Moderate,Near Pond,430,Medium
2019,Bauchi,1,Bogoro,84215,0,0,0,0,0,4,33.9,25,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,2,Bogoro,84215,0,0,0,0,0,4,38,24,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,3,Bogoro,84215,0,0,0,0,0,3,35.3,23,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,4,Bogoro,84215,0,0,0,0,0,0,35.1,28,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,5,Bogoro,84215,1,0,0.0001,0,11.87,0,36.2,34,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,6,Bogoro,84215,0,0,0,0,0,0,35.8,25,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,7,Bogoro,84215,0,0,0,0,0,2,37.4,28,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,8,Bogoro,84215,0,0,0,0,0,2,33.7,27,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,9,Bogoro,84215,1,0,0.0001,0,11.87,7,37.6,31,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,10,Bogoro,84215,1,0,0.0001,0,11.87,6,36.2,31,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,11,Bogoro,84215,0,0,0,0,0,5,37.7,47,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,12,Bogoro,84215,0,0,0,0,0,13,34.6,38,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,13,Bogoro,84215,0,0,0,0,0,13,32.9,46,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,14,Bogoro,84215,0,0,0,0,0,18,28.9,49,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,15,Bogoro,84215,0,0,0,0,0,22,31.1,42,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,16,Bogoro,84215,0,0,0,0,0,23,27.5,35,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,17,Bogoro,84215,1,0,0.0001,0,11.87,27,29.5,59,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,18,Bogoro,84215,0,0,0,0,0,24,32.5,64,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,19,Bogoro,84215,0,0,0,0,0,33,32.3,81,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,20,Bogoro,84215,0,0,0,0,0,22,28,78,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,21,Bogoro,84215,0,0,0,0,0,52,31.7,72,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,22,Bogoro,84215,0,0,0,0,0,51,32.9,65,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,23,Bogoro,84215,0,0,0,0,0,40,31.5,79,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,24,Bogoro,84215,0,0,0,0,0,41,32,71,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,25,Bogoro,84215,0,0,0,0,0,32,27.4,63,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,26,Bogoro,84215,1,0,0.0001,0,11.87,54,27.8,75,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,27,Bogoro,84215,0,0,0,0,0,25,31.2,59,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,28,Bogoro,84215,2,0,0.0002,0,23.75,50,31.5,57,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,29,Bogoro,84215,0,0,0,0,0,42,31.6,59,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,30,Bogoro,84215,0,0,0,0,0,29,32.1,71,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,31,Bogoro,84215,1,0,0.0001,0,11.87,40,29.7,68,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,32,Bogoro,84215,0,0,0,0,0,20,32.7,67,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,33,Bogoro,84215,1,0,0.0001,0,11.87,13,30.4,71,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,34,Bogoro,84215,0,0,0,0,0,17,32.7,82,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,35,Bogoro,84215,1,0,0.0001,0,11.87,17,29.1,80,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,36,Bogoro,84215,0,0,0,0,0,11,31.9,57,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,37,Bogoro,84215,0,0,0,0,0,36,30.8,55,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,38,Bogoro,84215,0,0,0,0,0,31,34.8,84,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,39,Bogoro,84215,0,0,0,0,0,39,33.8,71,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,40,Bogoro,84215,0,0,0,0,0,25,31.9,77,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,41,Bogoro,84215,0,0,0,0,0,16,33.7,48,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,42,Bogoro,84215,0,0,0,0,0,3,33.8,41,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
2019,Bauchi,43,Bogoro,84215,0,0,0,0,0,7,32.7,36,Borehole ,Borehole,High,Flush Toilet,35,15,Good,9,1,45,High,High,Near River,460,High
